comment_id,vote,x_id
11,-1,79921237-3899-4877-99d2-62fc33bb4bbc
7,1,92908b97-81d7-4c0b-8f6e-67de1993e429
31,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
2,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
3,-1,4b7326b8-6d23-48b2-b416-df2a274caeb8
2,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
31,-1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
3,-1,5e3f6547-e8ec-46bf-8d38-14d80e2a6e54
33,-1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
3,-1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
2,-1,ebf516d7-d20b-4fef-a36b-442b049971b3
13,-1,fefd4257-0de6-4ef0-9695-560ec0757fca
23,-1,3137f512-59d9-4627-881a-2903e12f8758
3,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
32,-1,350313a1-fa8b-478d-b682-f979e2a6b8de
27,-1,b7397eb6-5247-4bce-9058-f92443ddcf71
32,0,381822dd-4139-4c1f-8dea-7ecba318c59b
31,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
0,-1,0fc13665-3364-4aec-ad7b-a646810b0482
25,-1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
17,-1,0fc13665-3364-4aec-ad7b-a646810b0482
13,-1,0fc13665-3364-4aec-ad7b-a646810b0482
27,-1,0fc13665-3364-4aec-ad7b-a646810b0482
14,-1,0fc13665-3364-4aec-ad7b-a646810b0482
25,-1,0fc13665-3364-4aec-ad7b-a646810b0482
14,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
25,-1,1da61af9-df92-4377-858e-e85d623648d0
17,0,dc493105-e662-4d9a-9e55-71f6cef4e416
28,1,6efafc2f-e31b-438f-b520-d95f79642f66
18,-1,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
22,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
39,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
36,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
39,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
7,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
38,-1,3137f512-59d9-4627-881a-2903e12f8758
39,-1,3137f512-59d9-4627-881a-2903e12f8758
41,0,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
21,-1,94bcb277-e677-4518-8eb3-9b71752780ec
37,0,94bcb277-e677-4518-8eb3-9b71752780ec
17,-1,2c7dfd50-cfb4-4f9c-8b21-ad78a1eb0ff7
17,-1,030ae34e-8658-4517-99db-0c297ca651ab
23,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
17,-1,55e229f3-4b57-4930-a7ed-844910104ab3
27,1,4b7326b8-6d23-48b2-b416-df2a274caeb8
30,1,92908b97-81d7-4c0b-8f6e-67de1993e429
30,1,cd33f318-6c78-41d9-a9ee-b59a19f53c8d
30,1,1da61af9-df92-4377-858e-e85d623648d0
11,0,1da61af9-df92-4377-858e-e85d623648d0
23,-1,030ae34e-8658-4517-99db-0c297ca651ab
32,0,030ae34e-8658-4517-99db-0c297ca651ab
3,-1,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
2,-1,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
2,-1,4b7326b8-6d23-48b2-b416-df2a274caeb8
13,0,13944e6a-e2d1-4eec-873e-2fdc643b67f1
30,1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
29,1,350313a1-fa8b-478d-b682-f979e2a6b8de
6,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
32,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
8,0,b7397eb6-5247-4bce-9058-f92443ddcf71
27,-1,381822dd-4139-4c1f-8dea-7ecba318c59b
11,0,381822dd-4139-4c1f-8dea-7ecba318c59b
13,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
33,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
14,-1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
33,-1,92908b97-81d7-4c0b-8f6e-67de1993e429
23,-1,030ae34e-8658-4517-99db-0c297ca651ab
35,-1,030ae34e-8658-4517-99db-0c297ca651ab
35,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
3,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
23,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
8,1,55e229f3-4b57-4930-a7ed-844910104ab3
37,0,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
23,-1,030ae34e-8658-4517-99db-0c297ca651ab
37,-1,030ae34e-8658-4517-99db-0c297ca651ab
36,-1,47cd06ea-ae75-424b-bc27-ce3410f430f4
18,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
37,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
14,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
4,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
26,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
40,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
42,-1,94bcb277-e677-4518-8eb3-9b71752780ec
17,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
4,-1,92908b97-81d7-4c0b-8f6e-67de1993e429
17,-1,92908b97-81d7-4c0b-8f6e-67de1993e429
4,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
17,-1,3137f512-59d9-4627-881a-2903e12f8758
17,-1,4b7326b8-6d23-48b2-b416-df2a274caeb8
23,-1,cf56906c-9eeb-447a-9b32-504fcbaed5c4
29,1,cf56906c-9eeb-447a-9b32-504fcbaed5c4
